
Time stamp: 1700334688.844312 Date time: 2023-11-18 16:11:28.844312
 
Motor 7 | Velocidade: 1.9967778708709614
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9967778708709614
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9967778708709614
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9967778708709614
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9967778708709614
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9967778708709614
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9967778708709614
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9967778708709614
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9967778708709614
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334699.965292 Date time: 2023-11-18 16:11:39.965292
 
Motor 1 | Velocidade: 1.9984526388577104
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9984526388577104
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9984526388577104
Motor 6 | Velocidade: 0
Motor 7 | Velocidade: 1.9984526388577104
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9984526388577104
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9984526388577104
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9984526388577104
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9984526388577104
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9984526388577104
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9984526388577104
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9984526388577104
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9984526388577104
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334700.978957 Date time: 2023-11-18 16:11:40.978957
 
Motor 1 | Velocidade: 1.9994180888470916
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9994180888470916
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9994180888470916
Motor 6 | Velocidade: 0
Motor 7 | Velocidade: 1.9994180888470916
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9994180888470916
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9994180888470916
